caller;start;end;duration;recipient;origin;destination;ratepermin;costs;origincontinent;destinationcontinent;callergender;recipientgender
Jana;07.09.2014 06:11:48;07.09.2014 07:03:48;52;Christopherus;Kansas;Togo;1.08;56.16;United States;Africa;Female;Male
Jana;07.09.2014 07:07:02;07.09.2014 07:46:02;39;Christopherus;Kansas;Togo;1.08;42.12;United States;Africa;Female;Male
Jana;07.09.2014 13:46:36;07.09.2014 14:59:36;73;Christopherus;Kansas;Togo;1.08;78.84;United States;Africa;Female;Male
Jana;07.09.2014 19:29:03;07.09.2014 19:31:03;2;Christopherus;Kansas;Togo;1.08;2.16;United States;Africa;Female;Male
Jana;07.09.2014 19:31:42;07.09.2014 21:27:42;116;Christopherus;Kansas;Togo;1.08;125.28;United States;Africa;Female;Male
Jana;07.09.2014 19:35:39;07.09.2014 20:13:39;38;Christopherus;Kansas;Togo;1.08;41.04;United States;Africa;Female;Male
Jana;07.09.2014 19:36:49;07.09.2014 20:45:49;69;Christopherus;Kansas;Togo;1.08;74.52;United States;Africa;Female;Male
Jana;07.09.2014 19:40:06;07.09.2014 20:37:06;57;Christopherus;Kansas;Togo;1.08;61.56;United States;Africa;Female;Male
Jana;07.09.2014 19:41:20;07.09.2014 19:47:20;6;Christopherus;Kansas;Togo;1.08;6.48;United States;Africa;Female;Male
Jana;07.09.2014 19:42:33;07.09.2014 20:34:33;52;Christopherus;Kansas;Togo;1.08;56.16;United States;Africa;Female;Male
Jana;07.09.2014 19:54:51;07.09.2014 21:09:51;75;Christopherus;Kansas;Togo;1.08;81.00;United States;Africa;Female;Male
Jana;08.09.2014 11:36:57;08.09.2014 13:34:57;118;Christopherus;Kansas;Togo;1.08;127.44;United States;Africa;Female;Male
Jana;08.09.2014 12:47:44;08.09.2014 14:25:44;98;Melinda;Kansas;Taiwan;0.07;6.86;United States;Asia;Female;Female
Jana;08.09.2014 20:12:32;08.09.2014 20:32:32;20;Christopherus;Kansas;Togo;1.08;21.60;United States;Africa;Female;Male
Jana;09.09.2014 10:15:21;09.09.2014 11:48:21;93;Christopherus;Kansas;Togo;1.08;100.44;United States;Africa;Female;Male
Jana;09.09.2014 13:47:05;09.09.2014 14:15:05;28;Melinda;Kansas;Taiwan;0.07;1.96;United States;Asia;Female;Female
Jana;09.09.2014 14:05:46;09.09.2014 14:43:46;38;Melinda;Kansas;Taiwan;0.07;2.66;United States;Asia;Female;Female
Jana;09.09.2014 15:01:47;09.09.2014 15:17:47;16;Christopherus;Kansas;Togo;1.08;17.28;United States;Africa;Female;Male
Jana;09.09.2014 16:41:42;09.09.2014 16:55:42;14;Melinda;Kansas;Taiwan;0.07;0.98;United States;Asia;Female;Female
Jana;10.09.2014 14:50:46;10.09.2014 16:18:46;88;Melinda;Kansas;Taiwan;0.07;6.16;United States;Asia;Female;Female
Jana;10.09.2014 16:52:53;10.09.2014 16:53:53;1;Melinda;Kansas;Taiwan;0.07;0.07;United States;Asia;Female;Female
Mila;10.09.2014 17:42:18;10.09.2014 18:21:18;39;Christopherus;Alaska;Togo;1.08;42.12;United States;Africa;Male;Male
Jana;10.09.2014 19:00:38;10.09.2014 19:54:38;54;Christopherus;Kansas;Togo;1.08;58.32;United States;Africa;Female;Male
Jana;10.09.2014 21:02:49;10.09.2014 21:40:49;38;Christopherus;Kansas;Togo;1.08;41.04;United States;Africa;Female;Male
Jana;10.09.2014 21:09:09;10.09.2014 22:39:09;90;Christopherus;Kansas;Togo;1.08;97.20;United States;Africa;Female;Male
Jana;10.09.2014 22:00:46;10.09.2014 23:11:46;71;Christopherus;Kansas;Togo;1.08;76.68;United States;Africa;Female;Male
Jana;11.09.2014 00:28:12;11.09.2014 01:03:12;35;Christopherus;Kansas;Togo;1.08;37.80;United States;Africa;Female;Male
Jana;11.09.2014 00:29:40;11.09.2014 00:55:40;26;Christopherus;Kansas;Togo;1.08;28.08;United States;Africa;Female;Male
Jana;11.09.2014 00:51:17;11.09.2014 02:02:17;71;Christopherus;Kansas;Togo;1.08;76.68;United States;Africa;Female;Male
Jana;11.09.2014 03:16:14;11.09.2014 03:53:14;37;Christopherus;Kansas;Togo;1.08;39.96;United States;Africa;Female;Male
Jana;11.09.2014 04:19:47;11.09.2014 05:26:47;67;Christopherus;Kansas;Togo;1.08;72.36;United States;Africa;Female;Male
Jana;11.09.2014 04:39:17;11.09.2014 04:56:17;17;Christopherus;Kansas;Togo;1.08;18.36;United States;Africa;Female;Male
Jana;11.09.2014 04:43:51;11.09.2014 05:18:51;35;Christopherus;Kansas;Togo;1.08;37.80;United States;Africa;Female;Male
Jana;11.09.2014 08:55:41;11.09.2014 09:29:41;34;Christopherus;Kansas;Togo;1.08;36.72;United States;Africa;Female;Male
Jana;11.09.2014 08:55:59;11.09.2014 09:26:59;31;Christopherus;Kansas;Togo;1.08;33.48;United States;Africa;Female;Male
Jana;11.09.2014 08:56:05;11.09.2014 09:26:05;30;Christopherus;Kansas;Togo;1.08;32.40;United States;Africa;Female;Male
Jana;11.09.2014 08:56:24;11.09.2014 09:54:24;58;Christopherus;Kansas;Togo;1.08;62.64;United States;Africa;Female;Male
Jana;11.09.2014 08:56:50;11.09.2014 09:39:50;43;Alexia;Kansas;Cameroon;0.48;20.64;United States;Africa;Female;Female
Jana;11.09.2014 20:04:25;11.09.2014 21:01:25;57;Alexia;Kansas;Cameroon;0.48;27.36;United States;Africa;Female;Female
Jana;11.09.2014 20:09:18;11.09.2014 20:13:18;4;Alexia;Kansas;Cameroon;0.48;1.92;United States;Africa;Female;Female
Jana;11.09.2014 21:48:46;11.09.2014 21:56:46;8;Alexia;Kansas;Cameroon;0.48;3.84;United States;Africa;Female;Female
Jana;11.09.2014 21:58:05;11.09.2014 22:35:05;37;Alexia;Kansas;Cameroon;0.48;17.76;United States;Africa;Female;Female
Jana;11.09.2014 21:58:46;11.09.2014 23:17:46;79;Alexia;Kansas;Cameroon;0.48;37.92;United States;Africa;Female;Female
Jana;11.09.2014 22:16:23;11.09.2014 22:56:23;40;Alexia;Kansas;Cameroon;0.48;19.20;United States;Africa;Female;Female
Jana;11.09.2014 22:27:51;11.09.2014 23:19:51;52;Alexia;Kansas;Cameroon;0.48;24.96;United States;Africa;Female;Female
Jana;11.09.2014 22:38:13;11.09.2014 23:46:13;68;Alexia;Kansas;Cameroon;0.48;32.64;United States;Africa;Female;Female
Jana;11.09.2014 23:07:04;11.09.2014 23:31:04;24;Alexia;Kansas;Cameroon;0.48;11.52;United States;Africa;Female;Female
Jana;12.09.2014 02:48:39;12.09.2014 03:51:39;63;Alexia;Kansas;Cameroon;0.48;30.24;United States;Africa;Female;Female
Jana;12.09.2014 04:10:37;12.09.2014 05:34:37;84;Alexia;Kansas;Cameroon;0.48;40.32;United States;Africa;Female;Female
Jana;12.09.2014 05:59:22;12.09.2014 06:02:22;3;Alexia;Kansas;Cameroon;0.48;1.44;United States;Africa;Female;Female
Jana;12.09.2014 15:50:51;12.09.2014 17:29:51;99;Alexia;Kansas;Cameroon;0.48;47.52;United States;Africa;Female;Female
Jana;12.09.2014 18:30:38;12.09.2014 18:46:38;16;Alexia;Kansas;Cameroon;0.48;7.68;United States;Africa;Female;Female
Jana;12.09.2014 18:31:06;12.09.2014 19:03:06;32;Alexia;Kansas;Cameroon;0.48;15.36;United States;Africa;Female;Female
Jana;12.09.2014 18:31:26;12.09.2014 18:45:26;14;Alexia;Kansas;Cameroon;0.48;6.72;United States;Africa;Female;Female
Niklas;13.09.2014 04:38:40;13.09.2014 05:10:40;32;Alexia;Florida;Cameroon;0.48;15.36;United States;Africa;Male;Female
Mia;13.09.2014 04:38:40;13.09.2014 06:34:40;116;Alexia;Nebraska;Cameroon;0.48;55.68;United States;Africa;Female;Female
Mia;13.09.2014 04:38:40;13.09.2014 05:56:40;78;Alexia;Nebraska;Cameroon;0.48;37.44;United States;Africa;Female;Female
Jana;13.09.2014 04:42:33;13.09.2014 04:51:33;9;Alexia;Kansas;Cameroon;0.48;4.32;United States;Africa;Female;Female
Anton;13.09.2014 05:01:25;13.09.2014 06:09:25;68;Alexia;Arkansas;Cameroon;0.48;32.64;United States;Africa;Male;Female
Anton;13.09.2014 05:02:03;13.09.2014 05:13:03;11;Alexia;Arkansas;Cameroon;0.48;5.28;United States;Africa;Male;Female
Fabian;13.09.2014 17:15:39;13.09.2014 18:45:39;90;Soraya;Washington;Algeria;0.48;43.20;United States;Africa;Male;Female
Jana;13.09.2014 20:56:31;13.09.2014 21:26:31;30;Diana;Kansas;Falkland Islands;0.45;13.50;United States;South America;Female;Female
Jana;13.09.2014 22:16:41;13.09.2014 22:23:41;7;Diana;Kansas;Falkland Islands;0.45;3.15;United States;South America;Female;Female
Jana;13.09.2014 22:17:43;13.09.2014 22:36:43;19;Diana;Kansas;Falkland Islands;0.45;8.55;United States;South America;Female;Female
Jana;13.09.2014 22:18:31;13.09.2014 22:26:31;8;Diana;Kansas;Falkland Islands;0.45;3.60;United States;South America;Female;Female
Jana;13.09.2014 22:48:44;13.09.2014 23:16:44;28;Diana;Kansas;Falkland Islands;0.45;12.60;United States;South America;Female;Female
Fabian;13.09.2014 23:00:14;14.09.2014 00:25:14;85;Soraya;Washington;Algeria;0.48;40.80;United States;Africa;Male;Female
Fabian;14.09.2014 01:16:20;14.09.2014 02:12:20;56;Soraya;Washington;Algeria;0.48;26.88;United States;Africa;Male;Female
Fabian;14.09.2014 01:17:53;14.09.2014 03:12:53;115;Soraya;Washington;Algeria;0.48;55.20;United States;Africa;Male;Female
Fabian;14.09.2014 01:36:45;14.09.2014 01:44:45;8;Soraya;Washington;Algeria;0.48;3.84;United States;Africa;Male;Female
Jana;14.09.2014 01:43:50;14.09.2014 01:50:50;7;Alexia;Kansas;Cameroon;0.48;3.36;United States;Africa;Female;Female
Jana;14.09.2014 01:45:05;14.09.2014 02:02:05;17;Alexia;Kansas;Cameroon;0.48;8.16;United States;Africa;Female;Female
Jana;14.09.2014 01:46:46;14.09.2014 01:49:46;3;Alexia;Kansas;Cameroon;0.48;1.44;United States;Africa;Female;Female
Jana;14.09.2014 03:02:12;14.09.2014 03:53:12;51;Alexia;Kansas;Cameroon;0.48;24.48;United States;Africa;Female;Female
Jana;14.09.2014 03:21:36;14.09.2014 04:03:36;42;Alexia;Kansas;Cameroon;0.48;20.16;United States;Africa;Female;Female
Jana;14.09.2014 20:23:52;14.09.2014 21:57:52;94;Alexia;Kansas;Cameroon;0.48;45.12;United States;Africa;Female;Female
Jana;14.09.2014 20:39:12;14.09.2014 21:48:12;69;Alexia;Kansas;Cameroon;0.48;33.12;United States;Africa;Female;Female
Jana;14.09.2014 23:30:16;14.09.2014 23:35:16;5;Alexia;Kansas;Cameroon;0.48;2.40;United States;Africa;Female;Female
Jana;15.09.2014 00:47:41;15.09.2014 01:40:41;53;Alexia;Kansas;Cameroon;0.48;25.44;United States;Africa;Female;Female
Jana;15.09.2014 01:11:08;15.09.2014 01:54:08;43;Kaan;Kansas;Reunion Island;1.00;43.00;United States;Africa;Female;Male
Mats;15.09.2014 02:04:15;15.09.2014 03:04:15;60;Alexia;Virginia;Cameroon;0.48;28.80;United States;Africa;Male;Female
Julia;15.09.2014 03:28:09;15.09.2014 04:28:09;60;Kaan;South Dakota;Reunion Island;1.00;60.00;United States;Africa;Female;Male
Jana;15.09.2014 16:55:41;15.09.2014 17:46:41;51;Alexia;Kansas;Cameroon;0.48;24.48;United States;Africa;Female;Female
Jana;15.09.2014 17:48:45;15.09.2014 18:11:45;23;Alexia;Kansas;Cameroon;0.48;11.04;United States;Africa;Female;Female
Jana;15.09.2014 18:56:03;15.09.2014 20:27:03;91;Alexia;Kansas;Cameroon;0.48;43.68;United States;Africa;Female;Female
Jana;15.09.2014 19:00:12;15.09.2014 19:36:12;36;Alexia;Kansas;Cameroon;0.48;17.28;United States;Africa;Female;Female
Jana;15.09.2014 19:01:36;15.09.2014 19:08:36;7;Alexia;Kansas;Cameroon;0.48;3.36;United States;Africa;Female;Female
Jana;15.09.2014 20:29:48;15.09.2014 21:32:48;63;Alexia;Kansas;Cameroon;0.48;30.24;United States;Africa;Female;Female
Jana;15.09.2014 21:11:08;15.09.2014 22:00:08;49;Alexia;Kansas;Cameroon;0.48;23.52;United States;Africa;Female;Female
Jana;15.09.2014 21:11:41;15.09.2014 22:40:41;89;Alexia;Kansas;Cameroon;0.48;42.72;United States;Africa;Female;Female
Jana;16.09.2014 15:59:29;16.09.2014 17:05:29;66;Alexia;Kansas;Cameroon;0.48;31.68;United States;Africa;Female;Female
Jana;16.09.2014 23:52:30;16.09.2014 23:53:30;1;Ruby;Kansas;Honduras;0.35;0.35;United States;North America;Female;Male
Jana;16.09.2014 23:53:11;17.09.2014 00:32:11;39;Ruby;Kansas;Honduras;0.35;13.65;United States;North America;Female;Male
Jana;17.09.2014 03:27:44;17.09.2014 04:21:44;54;Ruby;Kansas;Honduras;0.35;18.90;United States;North America;Female;Male
Jana;17.09.2014 18:30:13;17.09.2014 19:08:13;38;Mona;Kansas;Egypt;0.37;14.06;United States;Africa;Female;Female
Jana;17.09.2014 18:31:07;17.09.2014 19:53:07;82;Mona;Kansas;Egypt;0.37;30.34;United States;Africa;Female;Female
Jana;17.09.2014 18:44:23;17.09.2014 19:14:23;30;Mona;Kansas;Egypt;0.37;11.10;United States;Africa;Female;Female
Jana;17.09.2014 18:46:51;17.09.2014 18:47:51;1;Mona;Kansas;Egypt;0.37;0.37;United States;Africa;Female;Female
Jana;18.09.2014 00:17:38;18.09.2014 00:21:38;4;Mona;Kansas;Egypt;0.37;1.48;United States;Africa;Female;Female
Jana;18.09.2014 00:19:10;18.09.2014 02:07:10;108;Mona;Kansas;Egypt;0.37;39.96;United States;Africa;Female;Female
Jana;19.09.2014 00:26:43;19.09.2014 01:15:43;49;Alexia;Kansas;Cameroon;0.48;23.52;United States;Africa;Female;Female
Jana;19.09.2014 00:31:33;19.09.2014 00:38:33;7;Alexia;Kansas;Cameroon;0.48;3.36;United States;Africa;Female;Female
Jana;19.09.2014 00:58:02;19.09.2014 01:20:02;22;Luise;Kansas;Guinea Republic;0.81;17.82;United States;Africa;Female;Female
Jana;19.09.2014 01:21:04;19.09.2014 03:04:04;103;Hans-Dieter;Kansas;Uganda;0.48;49.44;United States;Africa;Female;Male
Jana;19.09.2014 15:58:48;19.09.2014 16:39:48;41;Hans-Dieter;Kansas;Uganda;0.48;19.68;United States;Africa;Female;Male
Jana;19.09.2014 17:12:46;19.09.2014 18:51:46;99;Hans-Dieter;Kansas;Uganda;0.48;47.52;United States;Africa;Female;Male
Jana;19.09.2014 17:30:09;19.09.2014 18:01:09;31;Mona;Kansas;Egypt;0.37;11.47;United States;Africa;Female;Female
Jana;19.09.2014 17:33:00;19.09.2014 19:21:00;108;Mona;Kansas;Egypt;0.37;39.96;United States;Africa;Female;Female
Jana;19.09.2014 18:20:43;19.09.2014 18:24:43;4;Hans-Dieter;Kansas;Uganda;0.48;1.92;United States;Africa;Female;Male
Jana;19.09.2014 19:36:53;19.09.2014 19:45:53;9;Hans-Dieter;Kansas;Uganda;0.48;4.32;United States;Africa;Female;Male
Jana;19.09.2014 19:39:01;19.09.2014 20:01:01;22;Hans-Dieter;Kansas;Uganda;0.48;10.56;United States;Africa;Female;Male
Jana;19.09.2014 19:55:40;19.09.2014 21:06:40;71;Hans-Dieter;Kansas;Uganda;0.48;34.08;United States;Africa;Female;Male
Jana;19.09.2014 20:27:49;19.09.2014 21:59:49;92;Hans-Dieter;Kansas;Uganda;0.48;44.16;United States;Africa;Female;Male
Jana;19.09.2014 20:40:59;19.09.2014 21:59:59;79;Ruby;Kansas;Honduras;0.35;27.65;United States;North America;Female;Male
Jana;20.09.2014 00:53:39;20.09.2014 02:14:39;81;Hans-Dieter;Kansas;Uganda;0.48;38.88;United States;Africa;Female;Male
Jana;20.09.2014 00:57:13;20.09.2014 01:45:13;48;Hans-Dieter;Kansas;Uganda;0.48;23.04;United States;Africa;Female;Male
Jana;20.09.2014 01:22:30;20.09.2014 01:38:30;16;Hans-Dieter;Kansas;Uganda;0.48;7.68;United States;Africa;Female;Male
Jana;20.09.2014 01:49:46;20.09.2014 02:47:46;58;Hans-Dieter;Kansas;Uganda;0.48;27.84;United States;Africa;Female;Male
Jana;20.09.2014 01:50:19;20.09.2014 03:05:19;75;Hans-Dieter;Kansas;Uganda;0.48;36.00;United States;Africa;Female;Male
Jana;20.09.2014 02:15:38;20.09.2014 02:40:38;25;Mona;Kansas;Egypt;0.37;9.25;United States;Africa;Female;Female
Jana;20.09.2014 02:20:58;20.09.2014 04:04:58;104;Mona;Kansas;Egypt;0.37;38.48;United States;Africa;Female;Female
Jana;20.09.2014 06:37:31;20.09.2014 08:15:31;98;Hans-Dieter;Kansas;Uganda;0.48;47.04;United States;Africa;Female;Male
Jana;20.09.2014 08:11:09;20.09.2014 09:31:09;80;Hans-Dieter;Kansas;Uganda;0.48;38.40;United States;Africa;Female;Male
Hannes;20.09.2014 15:15:51;20.09.2014 16:15:51;60;Hans-Dieter;Kentucky;Uganda;0.48;28.80;United States;Africa;Male;Male
Lisa;20.09.2014 15:15:51;20.09.2014 16:15:51;60;Hans-Dieter;Kansas;Uganda;0.48;28.80;United States;Africa;Female;Male
Jana;20.09.2014 16:35:13;20.09.2014 17:43:13;68;Hans-Dieter;Kansas;Uganda;0.48;32.64;United States;Africa;Female;Male
Jana;20.09.2014 16:37:42;20.09.2014 16:40:42;3;Hans-Dieter;Kansas;Uganda;0.48;1.44;United States;Africa;Female;Male
Jana;20.09.2014 18:43:45;20.09.2014 20:10:45;87;Hans-Dieter;Kansas;Uganda;0.48;41.76;United States;Africa;Female;Male
Jana;20.09.2014 19:44:13;20.09.2014 21:27:13;103;Hans-Dieter;Kansas;Uganda;0.48;49.44;United States;Africa;Female;Male
Frieda;20.09.2014 21:45:27;20.09.2014 22:45:27;60;Hans-Dieter;Vermont;Uganda;0.48;28.80;United States;Africa;Female;Male
Maximilian;23.09.2014 23:53:49;24.09.2014 00:10:49;17;Hans-Dieter;Rhode Island;Uganda;0.48;8.16;United States;Africa;Male;Male
Maximilian;23.09.2014 23:53:49;24.09.2014 00:01:49;8;Hans-Dieter;Rhode Island;Uganda;0.48;3.84;United States;Africa;Male;Male
Ben;27.09.2014 02:00:19;27.09.2014 02:44:19;44;Kimi;South Dakota;United Kingdom;0.07;3.08;United States;Europe;Male;Female
Ben;27.09.2014 02:02:36;27.09.2014 02:07:36;5;Diana;South Dakota;Falkland Islands;0.45;2.25;United States;South America;Male;Female
Ben;27.09.2014 02:07:40;27.09.2014 02:30:40;23;Diana;South Dakota;Falkland Islands;0.45;10.35;United States;South America;Male;Female
Leni;27.09.2014 02:11:39;27.09.2014 02:46:39;35;Clemens;Missouri;Namibia;0.79;27.65;United States;Africa;Male;Male
Max;27.09.2014 02:13:26;27.09.2014 02:41:26;28;Jasmin;Ohio;Mauritius;1.22;34.16;United States;Africa;Male;Female
Max;27.09.2014 02:14:06;27.09.2014 02:22:06;8;Felina;Ohio;Suriname;1.22;9.76;United States;South America;Male;Female
Max;27.09.2014 02:14:26;27.09.2014 02:48:26;34;Melinda;Ohio;Taiwan;0.07;2.38;United States;Asia;Male;Female
Ida;27.09.2014 02:14:47;27.09.2014 02:20:47;6;Sidney;Maine;Mayotte Island;1.00;6.00;United States;Africa;Female;Male
Ida;27.09.2014 02:14:47;27.09.2014 02:27:47;13;Sidney;Maine;Mayotte Island;1.00;13.00;United States;Africa;Female;Male
Ida;27.09.2014 02:14:58;27.09.2014 02:56:58;42;Sidney;Maine;Mayotte Island;1.00;42.00;United States;Africa;Female;Male
Ida;27.09.2014 02:14:58;27.09.2014 03:21:58;67;Sidney;Maine;Mayotte Island;1.00;67.00;United States;Africa;Female;Male
Ida;27.09.2014 02:15:44;27.09.2014 02:43:44;28;Sidney;Maine;Mayotte Island;1.00;28.00;United States;Africa;Female;Male
Ida;27.09.2014 02:15:44;27.09.2014 02:24:44;9;Sidney;Maine;Mayotte Island;1.00;9.00;United States;Africa;Female;Male
Clara;27.09.2014 02:16:07;27.09.2014 02:22:07;6;Malia;Maryland;Monaco;0.14;0.84;United States;Europe;Female;Female
Jonathan;27.09.2014 02:16:07;27.09.2014 02:22:07;6;Malia;West Virginia;Monaco;0.14;0.84;United States;Europe;Male;Female
Leni;27.09.2014 02:19:29;27.09.2014 04:08:29;109;Matthias;Missouri;Mali Republic;1.03;112.27;United States;Africa;Male;Male
Paul;27.09.2014 02:21:34;27.09.2014 02:49:34;28;Jasmin;Montana;Mauritius;1.22;34.16;United States;Africa;Male;Female
Leni;27.09.2014 02:23:15;27.09.2014 02:47:15;24;Henriette;Missouri;Zimbabwe;0.48;11.52;United States;Africa;Male;Female
Ben;27.09.2014 02:23:37;27.09.2014 02:37:37;14;Jasmin;South Dakota;Mauritius;1.22;17.08;United States;Africa;Male;Female
Ben;27.09.2014 02:24:15;27.09.2014 02:43:15;19;Hugo;South Dakota;Zimbabwe;0.48;9.12;United States;Africa;Male;Male
Ben;27.09.2014 02:25:12;27.09.2014 03:12:12;47;Diana;South Dakota;Falkland Islands;0.45;21.15;United States;South America;Male;Female
Ben;27.09.2014 02:26:58;27.09.2014 04:15:58;109;Diana;South Dakota;Falkland Islands;0.45;49.05;United States;South America;Male;Female
Max;27.09.2014 02:31:48;27.09.2014 03:04:48;33;Diana;Ohio;Falkland Islands;0.45;14.85;United States;South America;Male;Female
Clara;27.09.2014 02:36:52;27.09.2014 03:30:52;54;Jasmin;Maryland;Mauritius;1.22;65.88;United States;Africa;Female;Female
Jonathan;27.09.2014 02:36:52;27.09.2014 03:30:52;54;Jasmin;West Virginia;Mauritius;1.22;65.88;United States;Africa;Male;Female
Emma;27.09.2014 02:37:56;27.09.2014 02:38:56;1;Jasmin;New Jersey;Mauritius;1.22;1.22;United States;Africa;Female;Female
Clara;27.09.2014 02:38:38;27.09.2014 03:32:38;54;Jordan;Maryland;Bosnia;0.34;18.36;United States;Europe;Female;Male
Jonathan;27.09.2014 02:38:38;27.09.2014 04:31:38;113;Diana;West Virginia;Falkland Islands;0.45;50.85;United States;South America;Male;Female
Paul;27.09.2014 02:38:50;27.09.2014 02:53:50;15;Frauke;Montana;French Antilles;0.62;9.30;United States;South America;Male;Female
Emma;27.09.2014 02:38:50;27.09.2014 02:50:50;12;Jasmin;New Jersey;Mauritius;1.22;14.64;United States;Africa;Female;Female
Emma;27.09.2014 02:39:26;27.09.2014 03:05:26;26;Jasmin;New Jersey;Mauritius;1.22;31.72;United States;Africa;Female;Female
Ida;27.09.2014 02:39:49;27.09.2014 03:39:49;60;Jayden;Maine;Kiribati;1.16;69.60;United States;Oceania;Female;Male
Paul;27.09.2014 02:40:06;27.09.2014 03:44:06;64;Frauke;Montana;French Antilles;0.62;39.68;United States;South America;Male;Female
Clara;27.09.2014 02:42:13;27.09.2014 02:48:13;6;Jordan;Maryland;Bosnia;0.34;2.04;United States;Europe;Female;Male
Jonathan;27.09.2014 02:42:13;27.09.2014 04:14:13;92;Diana;West Virginia;Falkland Islands;0.45;41.40;United States;South America;Male;Female
Ida;27.09.2014 02:47:35;27.09.2014 03:54:35;67;Ylvi;Maine;Anguilla;0.57;38.19;United States;South America;Female;Female
Ida;27.09.2014 02:47:35;27.09.2014 04:23:35;96;Ylvi;Maine;Anguilla;0.57;54.72;United States;South America;Female;Female
Leni;27.09.2014 02:49:37;27.09.2014 04:19:37;90;Henriette;Missouri;Zimbabwe;0.48;43.20;United States;Africa;Male;Female
Leni;27.09.2014 02:51:42;27.09.2014 04:14:42;83;Anni;Missouri;Cayman Islands;0.24;19.92;United States;Oceania;Male;Female
Emma;27.09.2014 02:53:54;27.09.2014 04:14:54;81;Diana;New Jersey;Falkland Islands;0.45;36.45;United States;South America;Female;Female
Clara;27.09.2014 02:59:43;27.09.2014 04:02:43;63;Jordan;Maryland;Bosnia;0.34;21.42;United States;Europe;Female;Male
Jonathan;27.09.2014 02:59:43;27.09.2014 04:02:43;63;Diana;West Virginia;Falkland Islands;0.45;28.35;United States;South America;Male;Female
Paul;27.09.2014 03:07:57;27.09.2014 03:27:57;20;Patrick;Montana;Colombia;0.19;3.80;United States;South America;Male;Male
Paul;27.09.2014 03:08:45;27.09.2014 03:45:45;37;Frauke;Montana;French Antilles;0.62;22.94;United States;South America;Male;Female
Clara;27.09.2014 03:11:50;27.09.2014 04:50:50;99;Jordan;Maryland;Bosnia;0.34;33.66;United States;Europe;Female;Male
Jonathan;27.09.2014 03:11:50;27.09.2014 04:50:50;99;Diana;West Virginia;Falkland Islands;0.45;44.55;United States;South America;Male;Female
